@relation QueryResult

@attribute latitud numeric
@attribute longitud numeric
@attribute UNIX_TIMESTAMP(fecha) numeric

@data
-0.22372,-0.670539,1424156423
-0.223746,-0.670475,1424156442
-0.223755,-0.670388,1424156459
-0.223765,-0.670336,1424156471
-0.223787,-0.670222,1424156491
-0.223812,-0.670092,1424156512
-0.223866,-0.669998,1424156530
-0.223927,-0.669906,1424156547
-0.223983,-0.66982,1424156562
-0.224038,-0.669743,1424156578
-0.22407,-0.66966,1424156596
-0.22408,-0.669615,1424156610
-0.224116,-0.669555,1424156629
-0.224218,-0.66954,1424156651
-0.224251,-0.669539,1424156675
-0.224318,-0.669531,1424156692
-0.224378,-0.669554,1424156704
-0.224453,-0.669573,1424156718
-0.224544,-0.669574,1424156735
-0.224649,-0.669578,1424156752
-0.224762,-0.669582,1424156769
-0.224865,-0.669582,1424156786
-0.224983,-0.669579,1424156805
-0.225126,-0.669577,1424156830
-0.22519,-0.66954,1424156842
-0.225209,-0.669468,1424156857
-0.225253,-0.669394,1424156873
-0.225288,-0.669337,1424156886
-0.225324,-0.669303,1424156904
-0.225297,-0.669279,1424156917
-0.225256,-0.669255,1424156932
-0.22522,-0.669218,1424156946
-0.225206,-0.669153,1424156969
-0.225215,-0.66912,1424156984
-0.225229,-0.669077,1424157000
-0.225218,-0.669041,1424157013
-0.225194,-0.669,1424157026
-0.225165,-0.668961,1424157043
-0.225163,-0.668929,1424157058
-0.225136,-0.66891,1424157086
-0.225131,-0.668889,1424157101
-0.225118,-0.668868,1424157116
-0.225105,-0.668867,1424157132
-0.225107,-0.668868,1424157150
-0.225099,-0.668875,1424157170
-0.22509,-0.668885,1424157186
-0.225079,-0.668892,1424157204
-0.225095,-0.668901,1424157215
-0.225119,-0.668905,1424157227
-0.225151,-0.668917,1424157246
-0.225158,-0.668942,1424157257
-0.225181,-0.668982,1424157271
-0.225215,-0.669036,1424157288
-0.225225,-0.669101,1424157310
-0.225205,-0.669121,1424157325
-0.225202,-0.669098,1424157336
-0.225191,-0.669073,1424157351
-0.225202,-0.669138,1424157373
-0.225206,-0.669195,1424157390
-0.225233,-0.669236,1424157405
-0.225281,-0.669283,1424157422
-0.225268,-0.669367,1424157454
-0.225228,-0.669431,1424157471
-0.225199,-0.669505,1424157488
-0.225151,-0.669571,1424157505
-0.225087,-0.669577,1424157518
-0.22501,-0.669575,1424157533
-0.2249,-0.66958,1424157556
-0.224838,-0.669581,1424157568
-0.224744,-0.66958,1424157583
-0.224573,-0.669574,1424157609
-0.224461,-0.669568,1424157629
-0.224393,-0.66956,1424157641
-0.224315,-0.669531,1424157657
-0.224237,-0.669532,1424157682
-0.224195,-0.669537,1424157698
-0.224113,-0.669557,1424157716
-0.224076,-0.669622,1424157733
-0.224047,-0.669716,1424157749
-0.223999,-0.669792,1424157765
-0.223945,-0.669876,1424157781
-0.223847,-0.670025,1424157809
-0.223809,-0.670098,1424157824
-0.223795,-0.670172,1424157836
-0.223776,-0.670275,1424157852
-0.223762,-0.670354,1424157865
-0.223751,-0.67041,1424157877
-0.223685,-0.670581,1424157928
-0.22447,-0.671218,1424158359
-0.224507,-0.671235,1424158371
-0.22455,-0.671252,1424158387
-0.224582,-0.671269,1424158402
-0.224601,-0.671303,1424158415
-0.224611,-0.671346,1424158435
-0.224608,-0.671382,1424158451
-0.224634,-0.671354,1424158473
-0.224646,-0.671327,1424158487
-0.224669,-0.671333,1424158500
-0.224697,-0.671346,1424158519
-0.224686,-0.671368,1424158546
-0.224686,-0.671368,1424158567
-0.224686,-0.671368,1424158579
-0.224686,-0.671368,1424158594
-0.224686,-0.671369,1424158609
-0.224686,-0.671369,1424158634
-0.224686,-0.671369,1424158650
-0.224685,-0.671368,1424158665
-0.224685,-0.671368,1424158678
-0.224685,-0.671369,1424158697
-0.224683,-0.671368,1424158715
-0.224684,-0.671368,1424158728
-0.224684,-0.671368,1424158767
-0.224683,-0.671368,1424158783
-0.224683,-0.671368,1424158794
-0.224683,-0.671368,1424158806
-0.224683,-0.671368,1424158825
-0.224683,-0.671368,1424158839
-0.224682,-0.671368,1424158855
-0.224682,-0.671368,1424158870
-0.224683,-0.671368,1424158897
-0.224684,-0.671368,1424158919
-0.224686,-0.671369,1424158940
-0.224686,-0.671369,1424158954
-0.224686,-0.671369,1424158969
-0.224686,-0.671369,1424158985
-0.224686,-0.671369,1424159005
-0.224685,-0.671369,1424159027
